location_id,index,KLADR,FIAS,OKATO,OKTMO,IFNS,timezone,latitude,longitude,population
1596,423800,1600000200000,748d7afa-7407-4876-9f40-764ecdd09bbd,92430000000,92730000,1650,UTC+3,55.7436475,52.3958739,513242
1598,422230,1600200100000,9f936889-a757-419e-890a-d4cc1fa95e93,92201501000,92601101,1674,UTC+3,56.5232645,52.994257,19299
1600,423330,1600300100000,17296190-84f5-4afd-93c5-2b79cfc8bc12,92403000000,92602101,1689,UTC+3,54.8599054,53.0745505,34859
1605,423403,1600800100000,1ca4e6ce-2bc8-40a9-bdf5-113449c3a172,92405000000,92608101,1644,UTC+3,54.9013662,52.2970654,146309
1609,422000,1601000100000,d2c6e970-af35-41fe-9ba6-dc44a4187c67,92212501000,92612151,1685,UTC+3,56.0913636,49.8770441,18114
1613,423930,1601200100000,2a7d9c47-fc56-4167-a5fc-5e40a8a5f5d5,92408000000,92614101,1689,UTC+3,54.4063588,53.2457946,22109
1615,423230,1601400100000,2c857ac6-3fb8-421d-bfd4-deeffa96df8f,92410000000,92617101,1689,UTC+3,54.5363428,52.7895286,89144
1617,422430,1601500100000,58e5a396-77c4-4ab6-b235-afe364c0580f,92412000000,92618101,1673,UTC+3,54.9641106,48.2900576,20342
1621,423600,1601900100000,82d4c783-5080-4faa-9cec-ba9152bc9fc8,92415000000,92626101,1600,UTC+3,55.7566727,52.0544438,70750
1624,422521,1602100100000,1e90ec38-0f85-442b-ac1b-ca687fa91d88,92420000000,92628101,1673,UTC+3,55.8466751,48.5010882,97651
1626,423520,1602000100000,098deac5-b810-4584-b277-10f8b5afe51d,92417000000,92627101,1651,UTC+3,55.2988854,52.0063634,41798
1631,422610,1602500100000,72197ca2-8209-49d6-ba10-7796b2e2e852,92234501000,92634101,1684,UTC+3,55.4042646,49.5498201,7735
1633,423250,1602600100000,e3a88932-c76e-4158-842c-d710a9856df1,92425000000,92636101,1689,UTC+3,54.5966917,52.4432118,64145
1635,422190,1602700100000,1d9bbe0d-7086-4fd0-b91c-ed6d196cb818,92238501000,92638101,1675,UTC+3,55.7149876,51.4128614,14432
1638,423650,1602800100000,e23b4fcb-782b-4d5c-b962-94fd6018fef6,92239501000,92639101,1674,UTC+3,55.8950646,52.3144177,22075
1640,423700,1602900100000,d1d11ebe-b022-44aa-a211-3472483a4974,92240501000,92640101,1674,UTC+3,55.7270908,53.1005321,16474
1643,423570,1603100100000,6b849aa8-0782-4c26-b7ac-a0f413f306c0,92435000000,92644101,1651,UTC+3,55.6311963,51.814407,234108
1645,423040,1603300100000,1f708d3c-4d86-4ab7-afdf-5741fe661744,92437000000,92646101,1677,UTC+3,54.4281578,50.8050431,32600
1649,422840,1603800100000,724d41e3-f0ac-4254-a207-897ea3d42076,92232501000,92632101,1677,UTC+3,54.9748862,49.0302977,8650
1653,422370,1603900100000,e277c80f-b3ce-40d5-9a46-8c1e3a8dd1ba,92255501000,92655101,1656,UTC+3,54.936575,48.8314915,11596
